Hotel_Name,review_title,review_positive,review_negative,Reviewer_Score,date
"
Hotel
Hotel Monastère Maastricht
","
Great location and very clean
","Very clean, comfortable bed, modern shower with good water pressure, blinds that really darken the room, staff are friendly and helpful.   Also great location. ",There is very little space to hang clothes - no closet and just a room divider with a few hooks.  , 10 ,"
November 2018
"
"
Hotel
Hotel Monastère Maastricht
","
For one or a few nights it's ok.
","quick check in, nice atmosphere, comfortable bed. breakfast ""covid-19 style""  was quite good.",The room was  on the small side., 7.0 ,"
January 2021
"
"
Hotel
Hotel Monastère Maastricht
","
Nice hotel for a day or 2
",style and ambiance were superb.,The family room we had was rather small for 4 persons. Having awo story room with an upstairs or the kids was nice; it was a pitty however there was no tv in the parents room downstairs, 7.0 ,"
February 2021
"
"
Hotel
Hotel Monastère Maastricht
","
Superb
",,"The design,the bathtub", 9.0 ,"
February 2021
"
"
Hotel
Hotel Monastère Maastricht
","
Fairly good weekend for 2 people
","Staff - very friendly and helpful.
Location - right next to the Markt square (city center).
Building & decoration.
Bed - comfortable.
Room amenities - bluetooth speaker Marshall in the room. Warm bathroom mirror (to avoid foggy mirror).","Breakfast - even for Covid times, it was poor.
Sound insulation - could hear above guest bed/floor sounds and the outside street noise.", 7.0 ,"
January 2021
"
"
Hotel
Hotel Monastère Maastricht
","
Superb
",Really comfy bedding and very nice interior decoration,, 9.0 ,"
December 2020
"
"
Hotel
Hotel Monastère Maastricht
","
Good
",Considering the lockdown  ok,First room freezing cold. Staff gave us another room which was better, 7.0 ,"
December 2020
"
"
Hotel
Hotel Monastère Maastricht
","
Hmmmm
","The location is walking distance to markt, and also very comfortable beds. The staff were helpful. ","If you checkout late you have to pay €10 per hour, which I never had such experience before. Also the breakfast was below average ", 7.0 ,"
December 2020
"
"
Hotel
Hotel Monastère Maastricht
","
Very good
","nice meal
good breakfast
friendly staff
very good bed","room was outdated; windows and doors didn't close properly
with some nice decoration and new painting, one can easily make a very nice room", 8.0 ,"
December 2020
"
"
Hotel
Hotel Monastère Maastricht
","
An enjoyable and romantic stay
",Plush room and friendly staff.,No plug adaptor, 8.0 ,"
December 2020
"
"
Holiday park
Dormio Resort Maastricht
","
Lovd staying here - 3 adults and 4 children.
","Fantastic  - properly kitted out houses - Kids loved the swimming pool, onsite bakery made it great for morning.",NOTHING!, 10 ,"
August 2018
"
"
Holiday park
Dormio Resort Maastricht
","
Great on the outside, meh on the inside.
","Very nice location, clean air, quiet and relaxing. Plenty of places for kids to play safely and really nice ""back yard"" to sit in the sun. Very convenient parking right next to the house. The feeling of a small town is very nice.","Considering the times we are living I expect more than a tiny bar of soap. There should be ample supplies of liquid soap and hand sanitiser.
Also in the hygiene department the dishwasher simply does not clean dishes. Very frustrating.
While the grounds of the resort look beautiful and all houses are very pretty on the outside the level of finishing and comfort inside is a total disappointment.
Lowest wifi speed I have experienced anywhere: absolutely unusable.", 8.0 ,"
February 2021
"
"
Holiday park
Dormio Resort Maastricht
","
Good
",Close distance to the city center. Marvelous park with a lot of activities. Own sauna and hot tub ,"No questions to the hotel, but previous guests have smoked in a room and in sauna ;(  Bed was too soft on my taste. ", 7.0 ,"
January 2021
"
"
Holiday park
Dormio Resort Maastricht
","
Great location and value.
","Great location, clean and friendly staff.",No smoke detectors anywhere in the house.  They were all missing throughout the entire residence., 9.0 ,"
October 2020
"
"
Holiday park
Dormio Resort Maastricht
","
Very good
","Well equipped & clean. Neighborhood was very pleasant & the kids enjoyed the pool. 
Restaurant did takeaway during changes in regulations while we were there. ",, 8.0 ,"
October 2020
"
"
Holiday park
Dormio Resort Maastricht
","
All and all ok.
","The resort is lovely, with lots of playgrounds for kids and a quiet atmosphere, surrounded by nature. It's 8 minutes drive from the city and is close to several walking paths. We took the luxury accommodation, which was sufficient.","The mattresses were sinking in the middle, if you picked up the carpet in the living room, there was dirt there that indicated it wasn't cleaned for a while, the cleaning material they provide are not sufficient, especially given you don't get cleaning services during your stay (just bring your own cleaning kit), the jacuzzi didn't work and sauna took very long to heat. All and all, the stay was ok, but less than what I would expect given the price we paid.", 7.0 ,"
October 2020
"
"
Holiday park
Dormio Resort Maastricht
","
perfect.....
",,"the ventilation for the BBQ in house 57 must improve .
no ventilation the fire alarm go on and the house is full of smoke.", 9.0 ,"
July 2020
"
"
Holiday park
Dormio Resort Maastricht
","
Beautiful „Village“ in Maastricht
","Just a leap from the centrum of Maastricht lies this little village of holiday houses. It is quiet, green and really beautiful.
The house itself is modern and new, we felt at ease immediately. The beds and the couch were comfortable, the house had a private parking spot, blinds and a bathtub in addition to the shower.
The staff at the reception and the food court was really polite and kind, it was a pleasure.","First of all: the cost per dog and per stay is not mentioned here. We were a little shocked by the 40€ per dog per stay!
You could see in several spots that the cleaning staff is not quite thorough: the bathtub was dirty as well as the dustbin and the blinds. But the park was really clean as well as the house in general.
In total it was a great stay in a beautiful place. The only things that we were missing were a blanket on the couch and a dvd player in the house.", 7.9 ,"
March 2020
"
"
Holiday park
Dormio Resort Maastricht
","
Exceptional
",It was so peaceful. Great place!,, 9.6 ,"
March 2020
"
"
Holiday park
Dormio Resort Maastricht
","
Superb
","It was exactly what we needed. It was large, comfortable and close to Maastricht.",It was extremely expensive for a bare house which during the five days was not cleaned., 9.0 ,"
January 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Exceptional
",The room was lovely and comfortable. Very clean and nicely decorated.  The restaurant was amazing - delicious food and the staff were lovely. ,, 10 ,"
October 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Exceptional
","Very nice rooms, great dinner in the restaurant, friendly staff, everything just great.",, 10 ,"
December 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Superb
","Great place to stay in Maastricht. The food at the restaurant is excellent. We tried breakfast, lunch and dinner! Highly recommended ",, 9.0 ,"
November 2020
"
"
Hotel
Fitz Roy Urban Hotel, Bar and Garden
","
Great value for money, would certainly return.
","Great location right in the city centre, also offers good arrangements for parking. Very helpful, nice & flexible staff - both reception and in the restaurant / bar. It is a very clean & nice boutique hotel. Very comfortable bed and pillows, good quality products ito soaps, lotions, etc. Would certainly return there.","Dinner was OK, a form of ""haute cuisine""-type experimentation which was not in all dishes that successful (could perhaps be a matter of taste). Would perhaps be better to get a simplified menu with focus on great taste. Room was also a bit cold upon arrival as heaters were all on minimum.", 9.0 ,"
November 2020
"
