Hotel_Name,Review_Title,Review,Reviewer_Score,date
The London West Hollywood at Beverly Hills,Staycation #23,"The London remains one of the best well known secrets of Our City, Lady of Angels. This hotel is exactly where to stay in LA. Great location, impeccable service, DOG FRIENDLY!! Insanely clean grounds and beautiful rooms, sanitizer EVERYWHERE. Rooftop pool is open and worth a visit. What can I say? We LEGIT cannot get enough of this place, after 9 years it’s still one of the greatest and grandest in LA. ",50,February 2021
The London West Hollywood at Beverly Hills,Hidden paradise ," The moment we pulled up the valet and bellman where to greet us both where super friendly and professional, this was the beginning of our fabulous experience. Sheela checked us in and was extremely efficient and friendly and had us in our room within 10 mins. The room was spotless, big and airy with an amazing view. Up at the pool (which is spectacular) we where waited on by Howard he was so nice and helpful when it came to choosing food and drinks, also Austin makes a mean Bloody Mary ;) The complementary breakfast is delicious, our server Robert was extremely attentive and cheery. I HIGHLY recommend this hotel, everyone we came in contact with where so professional, helpful & friendly and really made us feel special, it feel like a home away form home. I will most definitely",50,March 2021
The London West Hollywood at Beverly Hills,Clean and Safe Stay,"Loved this hotel! I needed a place to get away to work for a day and this was the perfect staycation.   The suites are large and clean, the hotel was quiet, everyone was masked and the breakfast was great!  And the location cannot be beat.  A quick walk to tons of dining and shopping.  Highly recommend. ",50,March 2021
The London West Hollywood at Beverly Hills,Highly recommend this Hotel,"I came here for a mini vacation with my family, and all I can say is that this Hotel was an amazing experience! everything about it is perfect, the rooms are nice and clean, everything is provided for you with high class, the breakfast is amazing and delicious , and the staff is so welcoming and friendly, especially Deborah! We will definitely come back here soon for another nice vacation. I definitely Recommend coning here and spending quality time at this beautiful place!",50,February 2021
The London West Hollywood at Beverly Hills,Staycation,"In the time of Covid much travel is not wise, but my girlfriend and I stayed at the London West Hollywood this past weekend and it was a slice of heaven. The staff went above and beyond to treat us like royalty without being pushy or invasive. The views were spectacular and the rooms...well roomy. I would definitely stay here again and actually look doers to coming back. ",50,February 2021
Copthorne Tara Hotel London Kensington,"Great location, good business hotel","This hotel offered great service and facilities during my stay, convenient to the city centre .  I also had great hospitality from Alberto who was extremely helpful on the reservations desk , who offered the best customer service",50,February 2021
Copthorne Tara Hotel London Kensington,Perfect  choice  of hotel in a quiet and safe area,I have stayed in various hotels in London and the Copthorne Tara Kensington  is most  certainly  the very best. I travel  constantly  for business and the hotel from start to finish  exceeds all my expectations. From first arrival the entrance feels grand which leads into a huge well lit  and extremely  clean lobby and reception with a comfortable lounge area for relaxing. There are numerous  hand sanitizer stations and during covid I noticed on arrival all staff and front of house were wearing  masks aswell  as guests who wear masks in the lobby areas which made me feel comfortable. The hotel is extremely  clean in all areas.  I particularly  enjoy the quietness of the hotel.Just 5 minutes  walk from Kensington  high street though tucked away from any noise. The rooms are in my,50,February 2021
Copthorne Tara Hotel London Kensington,"Elegant Hotel, Good Service & Prime Location!!","I love this hotel a lot! The location is perfect, near the High Street Kensington tube. Lots of cafes and restaurants nearby. Also can go for a walk to the famous hyde park in a short walking distance!   The receptionists and polite and helpful. Also, the cleaning service is satisfactory! The hotel and room design are beautiful and elegant! The view is stunning facing the west side with higher floors! Very nice experience! Highly recommended!",50,January 2021
Copthorne Tara Hotel London Kensington,"Convenient long term stay, amazing staff","We stayed at this hotel for several months during lockdown and enjoyed every day of it. The room was spacious and bright, with a lot of closet space, a safe, electric kettle, and a relatively large fridge (for usual hotel standards) which all came very convenient during our long term stay. In the lobby, there's even a microwave which guests can use. The bed was large and very comfortable. Nice views over the West of London. Furniture and fittings was not brand new but all in all it was very good value for money. It is the staff which made our stay very special and made us feel almost at home far away from home. From the front desk to the kitchen and service to the cleaning and maintenance, the staff is very welcoming and highly professional. Even our special wishes for food were",50,February 2021
Copthorne Tara Hotel London Kensington,Nobody Wearing Masks,None of the guests sitting or walking around the communal lobby and seating areas were wearing masks even though there were signs up everywhere requesting people to wear them. Even some of the staff had their masks placed under their chins. Management and staff should tell people to keep their masks on at all times to keep everyone safe as it's mandatory to wear masks indoors in public areas.,10,January 2021
Sofitel London Gatwick Hotel,Great hotel and restaurant,"I had a great stay! My flight to Orlando over London was delayed - thank God! I was very happy with this hotel they gave me, the check in was absolutely easy and fast, the staff is nice and the room was clean and neat. The lobby is very spacious and airy, which I love. I had vouchers and used one for the dinner at the restaurant and the tomato pasta was the best food I ever had!!!  I was a great experience and I'd rather have stayed longer than to take the flight the next day.",50,July 2020
Sofitel London Gatwick Hotel,Excellent stay as always,"I love staying at this hotel.  Always feel welcome on arrival.  Rooms are comfortable and clean.  For our most recent stay in January we discovered at check in we were the ""guest of the day"" as a result of which we got an upgrade giving us access to the exec level lounge.  We were taken to our room and shown around by the manager of guest relations.  She was fantastic.  So once again, thanks Sofitel Gatwick.  I am already planning my next stay at the hotel.  HIGHLY RECOMMENDED",50,January 2020
Sofitel London Gatwick Hotel,Not as expected,We have stayed at this hotel on a number of occasions with no problems but this time our sleep quality was very poor.  The room was so hot and the feather duvet was hot and heavy.  Also there was a feather mattress topper which was lumpy and uncomfortable.  End result was a maximum of only a few hours of sleep.  The bathroom floor was dirty and needed cleaning.  Fortunately we ordered breakfast early so we left as soon as we could.  We travel as much as we are able but I would definitely think twice before staying again.,30,January 2021
Sofitel London Gatwick Hotel,The worst service I ever seen,"Unfortunately I just had the worst experience in this hotel. One night it’s enough to realise, it took them 3 HOURS to check me in as it was around 100 people at the queue. When it was almost my turn a lady came out from reception saying that they have no more rooms so they weren’t able to check us in. After other lady in my same situation threatened them to call the police... bum! Magically they found room for all of us...   Once I could get into my room around 9,30 pm. (I came to the hotel at 5,30 pm) I’ve tried to order some dinner. Room service phone was busy all the time so I had to come down to reception to place my order. After 1:30 minutes waiting for just 1 pizza I decide to call again and what was my surprise? The man on the phone said that I didn’t place any order and",10,January 2021
Sofitel London Gatwick Hotel,Had to be changed to 3 different rooms,"When we arrived, we had to be moved 2 times. The first room we were given was half clean. The bathroom was dirty. There was garbage everhwere. The second room was filled with ciggarette smoke. When we went to give in the test the front desk was extremely rude and took a long time to come help us even though there was no one there.",20,December 2020
Travelodge London Covent Garden,"Great Team, Great Hotel!","Stayed with this hotel for over 3 months and they have been nothing but Helpful and attentive with me. Close to all amenities, central location, close to station. Definitely recommend. I will be back soon!",50,March 2021
Travelodge London Covent Garden,Best Travelodge in London,"I stayed here for five nights and have zero complaints. The staff were brilliant, especially during this pandemic. The hotel was clean and my room spacious. WiFi worked well. The location is fantastic - right in the heart of Covent Garden.",50,December 2020
Travelodge London Covent Garden,Good not Great,"Very convenient location , fantastic staff who are very friendly and helpful , and really clean and well laid out rooms. Also , prices are very sensible for the rooms and £3 a day to top up the 30 minutes of free wi-fi tjat comes as standard is also very fair. Of course covid restrictions meant no bar or dining and i really missed sutting down and having a nice cooked  breakfast To make it a better experience it would be great to have the option of sky/bt sports / netflix etc in the rooms , especially with all the pubs closed. I would say the walls are thin so sometimes you can hear your neighbours noises , and one or two of the rooms that are in the corners or angles of the building are odd shapes so badly configured to be able to use the desks properly.",40,February 2021
Travelodge London Covent Garden,One of the best Travelodges,Friendly and helpful staff. Rooms recently decorated/renovated. I was with my disabled son in a wheelchair and staff were very helpful and considerate. Access for a wheelchair is via a ramp at side of building that is quite steep so must have strong arms or someone to assist wheelchair users! ,50,February 2021
Travelodge London Covent Garden,Perfect base for business trip or explore London. Eleonora and Marina were excellent.,"The reception was warm and wonderful for business travellers especially considering the tough times the hotel industry is facing.  Eleonora and Marina were very accommodating and amazingly helpful.    The room is superb in terms of cleanliness which is utmost priority during these uncertain times of pandemic.  Ample space, clean shower, little details on tea/coffee provision completes the experience.  The location is a perfect and secure 5 minute walk to nearby Holborn station with plenty of local cafes offering take away food.  There are also vending machines for those late night snacks so no need to venture out in the cold and dark during those late night conference meetings.  The bar/cafe, albeit currently closed, looks a great place to hang out with your friends.  Once",50,February 2021
Park Plaza Westminster Bridge London,Its the little things....,I had such an amazing experience in park plaza yesterday. As i checked in i was given chocolate and was wished a happy international womens day and even given a really nice room. Its hard times at the moment so these little touches are so nice. Cant wait to come back during summer,50,March 2021
Park Plaza Westminster Bridge London,Need to go back!,"We stayed at the Park Plaza recently as we had some work done to our home. We live in London and we wanted to stay central. I can't fault this hotel and our experience was truly beyond what we expected. FIrst off, the location is excellent! You are located literally across Westminster Bridge, and if available, you can request a room with views onto Westminster Bridge, Big Ben and Parliament. If you love walking, you can walk to Trafalgar Square, and even Piccadilly Circus. It would take you less than 20 minutes I believe. You are also a few minutes away from London Eye. There are cool and trendy restaurants all around, and your local shops like M&S and Boots are just around the corner. Waterlook Station is a 5 minute walk,so you truly have everything on your doorstep.  We stay",50,February 2021
Park Plaza Westminster Bridge London,ICU Redeployment,I stayed here during my ICU redeployment and it helped me massively as work was just a 3 minute walk. The food was good and never arrived late. The staff here are very professional and were kind and polite. Thank you for being so accommodating.,50,February 2021
Park Plaza Westminster Bridge London,My review,Great staff in all apartments very helpful and friendly as Well as professional the space is also very clean and presentable there is also no issues about the food coming on time and my request were met professionally,50,March 2021
